origen,nombre,tipo,bytes,fecha,destino,nota
~/Downloads,0002.jpg,jpg,655024,2026-07-03,~/Rosanta OS/_Inbox/Revisar_Imagenes,Imagen/archivo sin contexto - clasificar manualmente
~/Downloads,0005.jpg,jpg,764802,2026-07-03,~/Rosanta OS/_Inbox/Revisar_Imagenes,Imagen/archivo sin contexto - clasificar manualmente
~/Downloads,0007.jpg,jpg,822261,2026-07-03,~/Rosanta OS/_Inbox/Revisar_Imagenes,Imagen/archivo sin contexto - clasificar manualmente
~/Downloads,"05. CORSAGA, BOLETA DE PAGO IVA GENERAL.pdf",pdf,41856,2026-06-22,~/Rosanta OS/03_Finance_Data_OS/Finanzas & Contabilidad/IMPUESTOS,Boleta de pago SAT
~/Downloads,"06. CORSAGA, BOLETA DE PAGO ISO 2DO TRIMESTRE.pdf",pdf,41730,2026-07-27,~/Rosanta OS/03_Finance_Data_OS/Finanzas & Contabilidad/IMPUESTOS,Boleta de pago SAT
~/Downloads,"06. CORSAGA, BOLETA DE PAGO IVA GENERAL.pdf",pdf,41879,2026-07-27,~/Rosanta OS/03_Finance_Data_OS/Finanzas & Contabilidad/IMPUESTOS,Boleta de pago SAT
~/Downloads,1.png,png,2745807,2026-07-17,~/Rosanta OS/_Inbox/Revisar_Imagenes,Imagen/archivo sin contexto - clasificar manualmente
~/Downloads,174539-JUAN_6500002057_20266227205.csv,csv,1744,2026-06-22,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539-JUAN_6500002057_202662313274.csv,csv,3134,2026-06-23,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539-JUAN_6500002057_20266306340.csv,csv,1854,2026-06-30,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539-JUAN_6500002057_202663063429.csv,csv,1971,2026-06-30,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539-JUAN_6500002057_2026711358.csv,csv,8137,2026-07-01,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539_JUAN_6500002057_202663071648.pdf,pdf,144887,2026-06-30,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539_JUAN_6500002057_2026713104255.pdf,pdf,168016,2026-07-13,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539_JUAN_6500002057_2026713111459.pdf,pdf,168016,2026-07-13,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539_JUAN_6500002057_202671311165.pdf,pdf,144024,2026-07-13,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539_JUAN_6500002057_20267617597.pdf,pdf,168016,2026-07-06,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539_JUAN_6500002057_2026820202030.pdf,pdf,145861,2026-08-20,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539_JUAN_6500002057_2026820202137.pdf,pdf,136228,2026-08-20,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539_JUAN_6500002057_202682020428 (1).pdf,pdf,147555,2026-08-20,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539_JUAN_6500002057_202682020428.pdf,pdf,147555,2026-08-20,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539_JUAN_6500002057_2026820204548.pdf,pdf,144696,2026-08-20,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539_JUAN_6500002057_2026820204656.pdf,pdf,144807,2026-08-20,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539_JUAN_6500002057_2026820204751.pdf,pdf,136159,2026-08-20,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539_JUAN_6500002057_202682021536.pdf,pdf,144438,2026-08-20,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539_JUAN_6500002057_202682112638.pdf,pdf,136717,2026-08-02,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539_JUAN_6500002057_202682123439.pdf,pdf,168132,2026-08-02,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,174539_JUAN_6500002057_202682410258.pdf,pdf,145307,2026-08-24,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,2.png,png,3278858,2026-07-17,~/Rosanta OS/_Inbox/Revisar_Imagenes,Imagen/archivo sin contexto - clasificar manualmente
~/Downloads,2026_The Art of Visual Storytelling Playbook (1).pdf,pdf,6465805,2026-07-20,~/Rosanta OS/01_Business_Fundamentals/Referencias,Material de referencia / formación
~/Downloads,23C8E217-0027-47F2-8839-45C994012783.pdf,pdf,56985,2026-06-25,~/Rosanta OS/_Inbox/Revisar_Imagenes,Imagen/archivo sin contexto - clasificar manualmente
~/Downloads,3DD4D069-0DEC-4005-9434-84120F90FDD6.pdf,pdf,55841,2026-08-21,~/Rosanta OS/_Inbox/Revisar_Imagenes,Imagen/archivo sin contexto - clasificar manualmente
~/Downloads,644DFC01-460D-456B-8A21-E73EAC53C873.pdf,pdf,55958,2026-06-22,~/Rosanta OS/_Inbox/Revisar_Imagenes,Imagen/archivo sin contexto - clasificar manualmente
~/Downloads,7262C464-6EC6-4620-820A-176858213136.pdf,pdf,202015,2026-08-17,~/Rosanta OS/_Inbox/Revisar_Imagenes,Imagen/archivo sin contexto - clasificar manualmente
~/Downloads,73eb9dc3-c815-4adb-91c9-505c7c24d8bc.zip,zip,54725,2026-08-13,~/Rosanta OS/_Inbox/Revisar_Imagenes,Imagen/archivo sin contexto - clasificar manualmente
~/Downloads,8.jpg,jpg,227657,2026-07-23,~/Rosanta OS/_Inbox/Revisar_Imagenes,Imagen/archivo sin contexto - clasificar manualmente
~/Downloads,904E294D-A297-49AA-AFF8-03454682F4C5.pdf,pdf,55466,2026-07-14,~/Rosanta OS/_Inbox/Revisar_Imagenes,Imagen/archivo sin contexto - clasificar manualmente
~/Downloads,Acuerdo_Arranque_Mentoria_Lobo_Alfa.docx,docx,218784,2026-07-30,~/My Drive/PERSONAL/Mentoria_MOW,Mentoría personal
~/Downloads,Acuerdo_Arranque_Mentoria_Lobo_Alfa.pdf,pdf,61744,2026-07-30,~/My Drive/PERSONAL/Mentoria_MOW,Mentoría personal
~/Downloads,"Anexo Información Financiera CORSAGA, S.A. - ANEXO PYMES-3 VOBO.pdf",pdf,987730,2026-06-19,~/Rosanta OS/00_Admin/Legal_CORSAGA,Legal CORSAGA
~/Downloads,AventurasMayas_Guatemala_FINAL (1)-compressed.pdf,pdf,1656856,2026-06-16,~/My Drive/PERSONAL/Acatenango_Aventuras,Proyecto Acatenango — ya existe carpeta
~/Downloads,AventurasMayas_Guatemala_FINAL (1)-compressed.pdf (1).pdf,pdf,11922376,2026-06-16,~/My Drive/PERSONAL/Acatenango_Aventuras,Proyecto Acatenango — ya existe carpeta
~/Downloads,AventurasMayas_Guatemala_FINAL (1)-compressed.pdf.pdf,pdf,14545828,2026-06-16,~/My Drive/PERSONAL/Acatenango_Aventuras,Proyecto Acatenango — ya existe carpeta
~/Downloads,AventurasMayas_Guatemala_FINAL.pdf,pdf,5827956,2026-06-15,~/My Drive/PERSONAL/Acatenango_Aventuras,Proyecto Acatenango — ya existe carpeta
~/Downloads,BACCC01072026.csv,csv,81,2026-07-01,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,BACCC06072026.csv,csv,81,2026-07-06,~/Rosanta OS/03_Finance_Data_OS/Bancos_y_Conciliaciones/3_Bancos,Estado / movimiento bancario
~/Downloads,BRANDING SANTA ROSA.ai,ai,354603,2026-07-03,~/Rosanta OS/05_Marketing_OS/Marca_y_Assets/Brand Kit,Assets de marca / tipografía
~/Downloads,Bases SEO editorial.docx,docx,305828,2026-07-13,~/Rosanta OS/05_Marketing_OS/SEO_Local,SEO
